index,ID,name,category,rank,habit,weak,desc
1,M-ETC001,곰팡이 슬라임,monster,E,어둡고 습한 장소,[화염],역사에 핀 곰팡이가 마력과 반응해 태어난 생물. 이동을 방해하고 악취를 풍기지만 공격성은 거의 없다.
2,M-ETC002,무덤 쥐,monster,E,지하 폐허,[광역 공격],일반 쥐보다 크고 흉포하며 붉은 눈을 빛낸다. 무리를 지어 빠르게 달려들어 상대를 물어뜯는다.
3,B-G001-MAIN,종착역의 응어리,boss,E,오염된 지역의 중심부,"[정화], [화염]",폐역사에 쌓인 오염과 정체된 시간이 게이트의 마력과 반응하여 태어난 거대한 슬라임형 괴수. 던전의 오염을 유지하는 핵이다.
4,M-ETC003,독가루 나비,monster,E,꽃이 만발한 정원,[바람],아름다운 날개에서 미약한 마비나 현기증을 유발하는 독가루를 퍼뜨린다. 직접적인 공격성은 낮다.
5,M-ETC004,가시덩굴 개,monster,E,수풀이 우거진 곳,"[화염], [절단]",살아있는 가시덩굴이 뭉쳐 만들어진 생물. 움직임은 둔하지만 끈질기게 추격하며 돌진 공격을 한다.
6,B-G002-MAIN,새벽의 여왕초,boss,E,마력이 응축된 온실,[화염],수목원의 고대 식물이 마력에 오염되어 탄생한 정원의 지배자. 스스로 움직이지 않지만 주변 식물과 꽃가루를 조종하여 자신을 지킨다.
7,M-ETC005,수정 전갈,monster,D,수정 동굴,"[둔기 타격], [마법]",몸 전체가 단단한 마력 수정으로 덮여 물리 방어력이 매우 높다. 관절 부위나 배 부분이 약점이다.
8,M-ETC006,공명충,monster,D,수정 동굴,[원거리 공격],"직접 공격 능력은 없으나, 특유의 울음소리로 주변 수정을 공명시켜 '수정 공명 파동'을 일으키는 최우선 제거 대상."
9,B-G003-MAIN,수정 동굴의 포식자,boss,D,수정 동굴 최심부,"[둔기 타격], [마법]","거대한 도마뱀 형상의 광물 생명체. 동굴의 공명 파동에 완벽하게 적응한 최상위 개체로, 스스로 공명을 일으켜 영역을 지배한다."
10,M-ETC007,수몰된 망령,monster,C,깊고 탁한 물 속,"[빛], [신성]","물에 잠긴 사찰의 원념이 뭉쳐 태어난 망령. 물귀신처럼 헌터를 끌어당겨 익사를 유도하며, 물리적인 공격이 잘 통하지 않는다."
11,M-ETC008,녹슨 종의 파수꾼,monster,C,종탑 주변,"[번개], [둔기 타격]","종을 지키던 석상이나 갑옷이 마력으로 되살아난 존재. 움직임은 느리지만 강력한 일격을 가하며, 종소리가 울리면 더욱 강해진다."
12,B-G004-MAIN,종지기,boss,C,비탄의 종각,"[정화], [음파]","비탄의 종에 깃든 원념의 집합체이자 최종 파수꾼. 거대한 갑옷의 형상을 하고 있으며, 직접 종을 울려 강력한 공격을 가한다."
13,M-ETC009,흑요석 파수병,monster,B,화산 지대,"[충격], [관통]","용암이 굳어 만들어진 거대한 골렘. 둔기류의 충격이나, 약점인 코어를 노리는 관통 공격에 취약하다."
14,M-ETC010,불씨 날개 드레이크,monster,B,화산 상공,"[수속성], [빙결]",화산재와 불씨가 뭉쳐 날개 달린 파충류의 형상을 이룬 몬스터. 지상에 불씨를 쏟아부어 안전지대를 파괴하는 것을 우선한다.
15,M-ETC011,용암거미,monster,C,화산 동굴 및 암석 틈새,"[빙결], [수속성]",쯤 굳은 용암 껍질을 가진 거미. 떼로 나타나 끈적이는 용암 거미줄을 뱉어 대상의 이동을 봉쇄한다.
16,M-ETC012,재의 주술사,monster,B,화산 지대 후방,"[바람], [참격]","압축된 화산재로 이루어진 주술사. 바람 계열 공격에 쉽게 흩어지며, 날카로운 공격으로 베어내기 쉽다"
17,M-ETC013,용암 도마뱀,monster,B,바위 그림자 및 용암 지대,"[빙결], [수속성]",용암의 열기에 동화되어 열 감지가 어려운 기습형 몬스터. 파티의 후방을 노려 맹렬한 속도로 덮친다
18,B-G005-MAIN,화산의 군주,boss,B,화산의 심장부,"[빙결], [정화]","게이트의 마력이 화산의 심장부와 공명하여 탄생한, 분화구의 의지 그 자체. 반쯤 굳은 용암으로 이루어진 거대한 몸과 불타는 심장을 가졌다."
